name,anteil_kanton_pro_jahr_2016-2020,budget,selbstfinanzierungsgrad_prozent,besucherstatistik,leitungsstruktur,leitung_operativ_name ,leitung_operativ_geschlecht,mitarbeiter_bezahlt_unbezahlt
Zentrum Paul Klee (ZPK und Kunstmuseum haben dieselbe),6318000,10500000,40,140000,,Nina Zimmer,w,120/14
Kunstmuseum Bern,6250000,9500000,34,140000,,Nina Zimmer,w,149/0
Ballenberg,1225000,8000000,80,210000,,Peter Kohler,m,165
Alpines Museum,780000,3300000,45,30435,,Beat Hächler,m,23/2
Schweizer Künstlerbörse,250000,950000,42,3000,"Dienstleistung des Berufsverbands t. Theaterschaffende Schweiz und ist in dessen Strukturen eingebettet. Die strategische Führung obliegt einer so genannten Kerngruppe, bestehend aus Mitgliedern des Vorstandes von t. sowie externen Fachpersonen. Die operative Leitung ist Teil des Pflichtenhefts der Geschäftsleitung.",Anne Jäggi,w,5/60 (+55 auf Mandatsebene)
Berner Kammerorchester,44800,300000,70,1400,,Beat Sieber,m,34/0
Bernisches Historisches Museum,2351333,11000000,25,110952,,Jakob Messerli,m,99/0
Buskers Bern,40000,800000,über 90,70000,,Christine Wyss,w,4/300
Camerata,220000,1800000,63,9729,,Louis Dupras,m,73/10
Theater an der Effingerstrasse,170000,,"75,39",32460,,Markus Keller,m,59
Konzert Theater Bern,15192500,48000000,"19,6",140000,,Anton Stocker (a.i.),m,555
Kornhausbibliotheken,600000,8500000,15,666575,"Stiftungsrat (3 Männer, 2 Frauen) Strategieebene / Direktion und Geschäftsleitung (4 FRAUEN!) operative Ebene.",Christine Eggenberg,w,100/0
Kornhausforum,304000,950000,20,35438,,Bernhard Giger,m,8
La Cappella,60000,,80,18600,,Christoph Hoigné,m,
Reberhaus Bolligen,40000,60000,50,6630,,Alfons Cina,m,3/0
Bejazz Köniz,64000,450000,55,8500,,Fabio Baechtold,m,2/17
Mühle Hunziken,14000,,weitgehend selbstfinanziert,,,Christoph Fankhauser,m,
Kulturhof Köniz,48000,750000,55,20000,,"Beat Rufi, Robert Maurer, Roland Röthlisberger",m,9/130 (3 Honorar)
Theater Biel/Solothurn TOBS,3194203,15200000,"24.3",60948,,Dieter Kaegi,m,210/70
Bibliothek Biel,570595,3000000,15,250000,,Clemens Moser,m,30/9
Neues Museum Biel,765000,2180000,18,17000,Strategisch: Stiftungsrat / Operativ: Museum,Bernadette Walter,w,21 /  1
Spectacles francais (Nebia),390600,1500000,,,,Marynelle Debétaz,w,
Pasquart,409880,1500000,35,15285,Direktion,Felicy Lunn,w,16/0
Photoforum pasquart,98600,300000,20,12439,,Danaé Panchaud,w,2//
Theatre de la Grenouille,74320,385000,49,5000,,Charlotte Huldi,w,6 (20-30 auf Honorarbasis)
Bieler Fototage,49160,350000,33, 5001,,Sarah Girard,w,2 (plus mehrere Mandate)
Festival du Film Francais dHelvetie,61160,2000000,90,17000,,Christian Kellenberger,m,
Kufa Lyss,64000,,80,33172,Vereinsvorstand stellt Leitungsteam an,Daniela Eicher-Hulliger ,w,8/150
Kreuz Nidau,24000,60000,60,,,Steve Iseli,m,
Casino Theater Burgdorf,142850,571420,57,17000,,Peter Schläfli,m,
Stadtbibliothek Burgdorf,162400,812000,10,60000,,Ziga Kump (m),m,
Schloss Burgdorf,79680,momentan geschlossen,,,,,,
Regionalbibliothek Langnau,53000,411900,20,45469,,Barbara Dürst,w,4/0
Regionalmuseum Chüechlihuus,109200,323000,"14",4143,,Madeleine Ryser,w,10/2
Stadttheater Langenthal,422400,2100000,37,21250,"Stadtbetrieb, strateg. und operativ",Reto Lang,m,
Kunsthaus Langenthal,95309,450000,50,4500,Verein und Leitung,Raffael Dörig,m,3/25
Bibliothek Langenthal,132600,769850,17,74936,Stadtbetrieb und operative Führung,Monika Hirsbrunner,w,7
Museum Langenthal,32145,144430,45,3894,Stiftungsrat,Jana Fehrensen,w,alle freiwillig
Chrämerhuus Langenthal,26964,,60,7500,,Stefan Schischkanov,m,2
Kunsthaus Interlaken,58000,350000,60,5500,"Betriebskommission, Stiftungsrat",Heinz Häsler,m,fast nur Stundenlohn oder Freiwilligenarbeit
Interlaken Classics,44000,580000,40,5200,,Nando von Allmen,m,1/10
Musikfestwoche Meiringen,19600,350000,82,3500,"Verein, Geschäftsführung, künstl. Leitung",Katja Demenga,w,2/8
Stiftung Holzbildhauerei Brienz,25200,115000,68,6475,,Anton Reisacher,m,alle freiwillig
Kunstmuseum Thun,568800,1600000,10,21520,Städtisches Museum mit pol. Vorsteher,Helen Hirsch,w,20/20
Stadtbibliothek Thun,156800,1000000, 20,114000,,Jeanne Froidevaux Müller,w,9/25
Gastspieltheater der Kunstgesellschaft Thun,58000,300000,50,3600,, Pirkko Busin (f),w,3/4
Museumsschloss Thun,126600,,,47081,,Yvonne Wirth,w,
Schlosskonzerte Thun,39600,,,1700,,Gisela Trost,w,2/5
Schloss Oberhofen,56000,2112570,25,21882,,Christina Fankhauser,w,7-12/15
Schloss Spiez,56960,,,,,Barbara Egli,w,
Bibliothek Spiez,57945,450000,34,50600,"Vorstand, Betriebsleitung",Brigitte Burri,w,7/viele
"Swiss Chamber Music Festival, Adelboden",16000,200000,22,1035,"Verein, Geschäftsführung",Christine Lüthi,w,nur Geschäftsführerin bezahlt
Menuhin Festival Gstaad,160800,7200000,85,28000,,Christoph Müller,m,12/50
Sommets Musicaux Gstaad,32000,1000000,85,3750,,Ombretta Ravessoud,w,6/0
Jazz Tage Lenk,18000,,,,,Georg Nellen,m,
,,,,,,,,
,"Anteil Kanton bei Inst. reg. Bedeutung: 40 % (ausser Konhausbibliothek: 20 %, Hist. Mus.: 33,3 %) ",,,,,,,